SAM3	S000006195	amino acid transport	GO:0006865
SFH1	S000004313	ATPase activity	GO:0016887
MTQ2	S000002547	protein alkylation	GO:0008213
MEH1	S000001715	vacuole	GO:0005773
YHR097C	S000001139	cytoplasm	GO:0005737
RAD6	S000003026	hydrolase activity	GO:0016787
ENT1	S000002320	cytoskeleton organization	GO:0007010
RUF20	S000130127	cellular component	GO:0005575
HSP30	S000000615	response to chemical	GO:0042221
SEC3	S000000810	ion binding	GO:0043167
SNR11	S000007293	nucleus	GO:0005634
BI3	S000007272	mitochondrion	GO:0005739
PBI1	S000006193	molecular function	GO:0003674
GLC7	S000000935	cytoplasm	GO:0005737
DAN4	S000003912	cell wall	GO:0005618
ADH2	S000004918	cytoplasm	GO:0005737
VPS13	S000003963	sporulation	GO:0043934
BUD31	S000000659	mitotic cell cycle	GO:0000278
YIR035C	S000001474	cytoplasm	GO:0005737
ETT1	S000005577	molecular function	GO:0003674
DOT5	S000001272	response to oxidative stress	GO:0006979
RPA12	S000003824	transferase activity	GO:0016740
CCW12	S000004100	cell wall organization or biogenesis	GO:0071554
SPT14	S000006096	lipid metabolic process	GO:0006629
ETP1	S000001002	response to chemical	GO:0042221
HIR2	S000005564	nucleus	GO:0005634
VAC14	S000004378	cytoplasm	GO:0005737
TRE1	S000006097	proteolysis involved in cellular protein catabolic process	GO:0051603
DIF1	S000004429	cytoplasm	GO:0005737
CMR1	S000002315	chromosome	GO:0005694
TGL5	S000005607	hydrolase activity	GO:0016787
MDL2	S000006191	transmembrane transport	GO:0055085
tN(GUU)K	S000006671	RNA binding	GO:0003723
PUS7	S000005769	RNA modification	GO:0009451
SKY1	S000004829	transferase activity	GO:0016740
YLR157C-C	S000028565	molecular function	GO:0003674
PEX7	S000002549	transmembrane transport	GO:0055085
RDH54	S000000277	DNA recombination	GO:0006310
MIS1	S000000288	vitamin metabolic process	GO:0006766
RRD2	S000006073	mitotic cell cycle	GO:0000278
COX13	S000003159	membrane	GO:0016020
YMR105W-A	S000028692	biological process	GO:0008150
YBL100W-A	S000002148	transposition	GO:0032196
SLZ1	S000005140	RNA modification	GO:0009451
KAR3	S000006345	microtubule organizing center	GO:0005815
TCD1	S000001045	lyase activity	GO:0016829
ARP3	S000003826	regulation of organelle organization	GO:0033043
SDH7	S000002919	mitochondrion organization	GO:0007005
BIM1	S000000818	cytoskeleton	GO:0005856
MAK11	S000001504	molecular function	GO:0003674
HTD2	S000001109	lipid metabolic process	GO:0006629
OST2	S000005629	membrane	GO:0016020
CLB6	S000003341	regulation of protein modification process	GO:0031399
ADH6	S000004937	cellular component	GO:0005575
tT(AGU)I2	S000006742	cytoplasm	GO:0005737
HRD1	S000005373	response to chemical	GO:0042221
HSV2	S000003455	lipid binding	GO:0008289
ARP5	S000005004	nucleus	GO:0005634
YNL165W	S000005109	molecular function	GO:0003674
YFT2	S000002727	lipid metabolic process	GO:0006629
FPR2	S000002927	biological process	GO:0008150
MCM5	S000004264	DNA replication	GO:0006260
STE18	S000003846	conjugation	GO:0000746
AEP1	S000004668	regulation of translation	GO:0006417
UFD2	S000002349	cytoplasm	GO:0005737
YHB1	S000003466	cytoplasm	GO:0005737
RTS1	S000005540	regulation of organelle organization	GO:0033043
RPN10	S000001243	proteolysis involved in cellular protein catabolic process	GO:0051603
POL32	S000003804	DNA recombination	GO:0006310
TEF1	S000006284	nucleobase-containing compound transport	GO:0015931
FRE6	S000003974	oxidoreductase activity	GO:0016491
YHC3	S000003595	vacuole	GO:0005773
COX11	S000006053	mitochondrion	GO:0005739
RGI2	S000001319	molecular function	GO:0003674
ASF2	S000002356	molecular function	GO:0003674
GTR2	S000003395	ion binding	GO:0043167
HAM1	S000003830	hydrolase activity	GO:0016787
AIM41	S000005741	mitochondrion	GO:0005739
SMT3	S000002918	cytoskeleton	GO:0005856
LEA1	S000006134	nucleus	GO:0005634
SAP1	S000000849	cytoplasm	GO:0005737
ABD1	S000000440	mRNA processing	GO:0006397
CHD1	S000000966	DNA-templated transcription, elongation	GO:0006354
RPL7A	S000003044	structural molecule activity	GO:0005198
SPP382	S000004416	cytoplasm	GO:0005737
GPM1	S000001635	carbohydrate metabolic process	GO:0005975
RTM1	S000029677	biological process	GO:0008150
RPN7	S000006312	nucleus	GO:0005634
AIM46	S000001242	biological process	GO:0008150
RPH1	S000000971	oxidoreductase activity	GO:0016491
GIM4	S000000729	cytoskeletal protein binding	GO:0008092
VMA10	S000002100	membrane	GO:0016020
HAL1	S000006209	cytoplasm	GO:0005737
AIM22	S000003582	cytoplasm	GO:0005737
THO1	S000000865	nucleobase-containing compound transport	GO:0015931
COX19	S000007245	ion transport	GO:0006811
SNA3	S000003687	membrane	GO:0016020
MRD1	S000006316	ribosome assembly	GO:0042255
YGR038C-A	S000007407	nucleus	GO:0005634
OPI1	S000001012	protein binding transcription factor activity	GO:0000988
RTS2	S000005603	biological process	GO:0008150
FUS3	S000000112	kinase activity	GO:0016301
MDL1	S000004178	cytoplasm	GO:0005737
YIP1	S000003404	membrane fusion	GO:0061025
PDC2	S000002488	DNA binding	GO:0003677
tS(GCU)Q1	S000007332	mitochondrion	GO:0005739
RAD18	S000000662	DNA binding	GO:0003677
EHD3	S000002443	monocarboxylic acid metabolic process	GO:0032787
FRS1	S000004050	ligase activity	GO:0016874
MSB2	S000003246	plasma membrane	GO:0005886
SKM1	S000005473	cytokinesis	GO:0000910
UBP3	S000000953	RNA binding	GO:0003723
TEC1	S000000287	DNA binding	GO:0003677
MED8	S000000397	nucleus	GO:0005634
MRPL20	S000001793	mitochondrion	GO:0005739
RRP43	S000000631	snoRNA processing	GO:0043144
RPL23B	S000000919	structural molecule activity	GO:0005198
NUP133	S000001790	membrane	GO:0016020
YHR214C-C	S000007421	nucleus	GO:0005634
DSE4	S000005350	cytokinesis	GO:0000910
PDR16	S000005175	lipid transport	GO:0006869
SPP41	S000002872	cytoplasm	GO:0005737
RRT13	S000000868	molecular function	GO:0003674
SPO14	S000001739	sporulation	GO:0043934
YGR125W	S000003357	molecular function	GO:0003674
DER1	S000000405	proteolysis involved in cellular protein catabolic process	GO:0051603
ISY1	S000003811	RNA splicing	GO:0008380
RET3	S000005931	cytoplasm	GO:0005737
TIF4632	S000003017	translation factor activity, nucleic acid binding	GO:0008135
PET9	S000000126	transmembrane transport	GO:0055085
MFB1	S000002627	membrane	GO:0016020
HSF1	S000003041	mitochondrion	GO:0005739
ARN1	S000001032	membrane	GO:0016020
MEL8	S000029696	hydrolase activity	GO:0016787
JLP2	S000004739	molecular function	GO:0003674
POL2	S000005206	chromatin organization	GO:0006325
SEN1	S000004422	chromosome	GO:0005694
MXR2	S000000538	response to oxidative stress	GO:0006979
tT(UGU)G2	S000006750	cytoplasm	GO:0005737
SLX9	S000003313	molecular function	GO:0003674
YPR170W-B	S000028515	biological process	GO:0008150
TDA3	S000001051	endosomal transport	GO:0016197
tL(CAA)K	S000006642	triplet codon-amino acid adaptor activity	GO:0030533
BPH1	S000000628	molecular function	GO:0003674
OLI1	S000007274	hydrolase activity	GO:0016787
YLL054C	S000003977	cellular component	GO:0005575
GPI12	S000004894	hydrolase activity	GO:0016787
PEX34	S000000561	peroxisome	GO:0005777
PEP3	S000004138	ion binding	GO:0043167
HOS4	S000001374	chromatin organization	GO:0006325
MMS21	S000000745	chromosome	GO:0005694
tR(UCU)Q1	S000007331	triplet codon-amino acid adaptor activity	GO:0030533
ELM1	S000001531	kinase activity	GO:0016301
BDH2	S000000057	cytoplasm	GO:0005737
MRPL37	S000000472	structural molecule activity	GO:0005198
NFI1	S000005682	cytoplasm	GO:0005737
TSA2	S000002861	cytoplasm	GO:0005737
ROT1	S000004813	response to chemical	GO:0042221
ASK10	S000003329	response to chemical	GO:0042221
YDR170W-A	S000007227	nucleus	GO:0005634
MZM1	S000002901	mitochondrion organization	GO:0007005
tT(AGU)I1	S000006741	cytoplasm	GO:0005737
ATG32	S000001408	molecular function	GO:0003674
IPI3	S000005126	chromatin binding	GO:0003682
MRP2	S000006370	cytoplasm	GO:0005737
THP1	S000005433	nuclear transport	GO:0051169
MIC19	S000001907	membrane	GO:0016020
YLR290C	S000004281	cytoplasm	GO:0005737
MEK1	S000005878	kinase activity	GO:0016301
PSA1	S000002213	nucleotidyltransferase activity	GO:0016779
SLN1	S000001409	membrane	GO:0016020
SAS10	S000002312	nucleus	GO:0005634
RPS18B	S000004488	ribosome	GO:0005840
MRPS35	S000003397	structural molecule activity	GO:0005198
SYF1	S000002824	mRNA processing	GO:0006397
YAR068W	S000000091	cellular component	GO:0005575
YHR140W	S000001182	cytoplasm	GO:0005737
tL(UAG)L1	S000006655	translational elongation	GO:0006414
PEX6	S000005273	protein targeting	GO:0006605
SPS4	S000005840	molecular function	GO:0003674
DIP2	S000004119	nucleus	GO:0005634
PTC5	S000005616	phosphatase activity	GO:0016791
GCN20	S000001905	ATPase activity	GO:0016887
TPM2	S000001400	cytoskeleton organization	GO:0007010
TRA1	S000001141	protein acylation	GO:0043543
SUB2	S000002242	transcription from RNA polymerase II promoter	GO:0006366
EXO84	S000000306	protein complex biogenesis	GO:0070271
NTF2	S000000811	protein targeting	GO:0006605
MNN4	S000001684	carbohydrate metabolic process	GO:0005975
tF(GAA)G	S000006565	triplet codon-amino acid adaptor activity	GO:0030533
GPB2	S000000052	sporulation	GO:0043934
APD1	S000000355	biological process	GO:0008150
YGK3	S000005488	kinase activity	GO:0016301
COX5A	S000004997	mitochondrion	GO:0005739
YBR285W	S000000489	molecular function	GO:0003674
APM1	S000006180	cytoplasm	GO:0005737
BNA5	S000004221	nucleus	GO:0005634
PSD1	S000005113	lyase activity	GO:0016829
SLM4	S000000281	signaling	GO:0023052
ALG11	S000004993	oligosaccharide metabolic process	GO:0009311
MRPS35	S000003397	mitochondrion organization	GO:0007005
CDC5	S000004603	regulation of organelle organization	GO:0033043
IRE1	S000001121	hydrolase activity	GO:0016787
KIP1	S000000159	hydrolase activity	GO:0016787
EMG1	S000004176	rRNA processing	GO:0006364
GSY2	S000004248	nucleus	GO:0005634
ROX1	S000006269	DNA binding	GO:0003677
ISR1	S000006310	cellular component	GO:0005575
RPS14A	S000000627	cytoplasm	GO:0005737
ENV7	S000006157	regulation of organelle organization	GO:0033043
HPA3	S000000792	cytoplasm	GO:0005737
BFR1	S000005724	meiotic cell cycle	GO:0051321
LSP1	S000005925	lipid binding	GO:0008289
NMT1	S000004185	protein acylation	GO:0043543
NIC96	S000001898	protein targeting	GO:0006605
FUS2	S000004845	site of polarized growth	GO:0030427
KAP95	S000004339	regulation of protein modification process	GO:0031399
YPR159C-A	S000028725	cellular component	GO:0005575
NDT80	S000001166	nucleus	GO:0005634
RRI1	S000002375	peptidase activity	GO:0008233
RPN9	S000002835	structural molecule activity	GO:0005198
SCP160	S000003616	signaling	GO:0023052
BUD32	S000003494	telomere organization	GO:0032200
NGR1	S000000416	mitochondrion organization	GO:0007005
APM1	S000006180	cytoplasmic membrane-bounded vesicle	GO:0016023
MAD1	S000003054	mitotic cell cycle	GO:0000278
MED2	S000002163	nucleus	GO:0005634
INA17	S000006020	cytoplasm	GO:0005737
YBL008W-A	S000028529	biological process	GO:0008150
GLR1	S000006012	nucleus	GO:0005634
NNT1	S000004275	cytoplasm	GO:0005737
tD(GUC)B	S000006530	triplet codon-amino acid adaptor activity	GO:0030533
STU2	S000004035	nucleus	GO:0005634
SAS3	S000000148	nucleus	GO:0005634
tA(AGC)F	S000006511	RNA binding	GO:0003723
KTR3	S000000409	transferase activity, transferring glycosyl groups	GO:0016757
tA(UGC)Q	S000007315	cytoplasm	GO:0005737
CGI121	S000004500	telomere organization	GO:0032200
ISU2	S000005752	mitochondrion	GO:0005739
RPL15A	S000004019	cytoplasm	GO:0005737
APM3	S000000492	Golgi vesicle transport	GO:0048193
NHP6A	S000006256	transcription from RNA polymerase III promoter	GO:0006383
CDC65	S000006690	translational elongation	GO:0006414
RPS18B	S000004488	nucleobase-containing compound transport	GO:0015931
YHC3	S000003595	ion transport	GO:0006811
MSH6	S000002504	hydrolase activity	GO:0016787
DON1	S000002681	organelle fission	GO:0048285
YHL018W	S000001010	cytoplasm	GO:0005737
RPL33A	S000006064	cytoplasm	GO:0005737
RSR1	S000003384	membrane	GO:0016020
UBC5	S000002466	response to heat	GO:0009408
BIO1	S000125018	ligase activity	GO:0016874
YDR261C-C	S000007394	RNA binding	GO:0003723
VAM10	S000005594	vacuole	GO:0005773
POL4	S000000607	transferase activity	GO:0016740
NUP60	S000000063	DNA repair	GO:0006281
TAF12	S000002552	structural molecule activity	GO:0005198
SWD2	S000001501	transferase activity	GO:0016740
TIP41	S000006244	cytoplasm	GO:0005737
PRI2	S000001528	DNA repair	GO:0006281
MCT1	S000005747	cellular respiration	GO:0045333
HXT10	S000001883	membrane	GO:0016020
INN1	S000005096	site of polarized growth	GO:0030427
WWM1	S000001884	mitochondrion	GO:0005739
IWR1	S000002273	nucleus	GO:0005634
tT(AGU)O1	S000006746	RNA binding	GO:0003723
ATM1	S000004916	ATPase activity	GO:0016887
SNF7	S000004015	endosomal transport	GO:0016197
CHS3	S000000227	carbohydrate metabolic process	GO:0005975
SCP160	S000003616	endoplasmic reticulum	GO:0005783
RAD50	S000005194	transferase activity	GO:0016740
DBF4	S000002459	regulation of protein modification process	GO:0031399
GLE1	S000002366	nucleus	GO:0005634
tK(CUU)J	S000006625	mitochondrion	GO:0005739
SDA1	S000003477	cytoskeleton organization	GO:0007010
FKH1	S000001393	cytoplasm	GO:0005737
YSC84	S000001058	cytoskeleton organization	GO:0007010
RFC3	S000005234	DNA replication	GO:0006260
ERR3	S000004942	lyase activity	GO:0016829
YUH1	S000003860	cytoplasm	GO:0005737
SEN34	S000000066	cytoplasm	GO:0005737
TRA1	S000001141	cellular response to DNA damage stimulus	GO:0006974
CCE1	S000001494	hydrolase activity	GO:0016787
ERG3	S000004046	oxidoreductase activity	GO:0016491
VPS16	S000005966	cytoplasm	GO:0005737
MCM2	S000000119	helicase activity	GO:0004386
MKT1	S000005029	cellular response to DNA damage stimulus	GO:0006974
CAC2	S000004570	chromatin organization	GO:0006325
VMA11	S000006155	hydrolase activity	GO:0016787
YBP1	S000000420	response to chemical	GO:0042221
NAM8	S000001128	RNA binding	GO:0003723
HEM4	S000005804	cofactor metabolic process	GO:0051186
MPP10	S000003762	rRNA processing	GO:0006364
MEK1	S000005878	transferase activity	GO:0016740
NPR1	S000005127	cytoplasm	GO:0005737
AHC1	S000005549	nucleus	GO:0005634
YRF1-1	S000002953	telomere organization	GO:0032200
HCR1	S000004182	translation factor activity, nucleic acid binding	GO:0008135
PEX11	S000005507	endoplasmic reticulum	GO:0005783
OXA1	S000000956	mitochondrion	GO:0005739
IFM1	S000005383	translational initiation	GO:0006413
RSB1	S000005575	ATPase activity	GO:0016887
CTS1	S000004276	hydrolase activity, acting on glycosyl bonds	GO:0016798
FEX2	S000006200	transmembrane transport	GO:0055085
MIG3	S000000830	chromosome	GO:0005694
KIN82	S000000687	transferase activity	GO:0016740
CUL3	S000003235	protein modification by small protein conjugation or removal	GO:0070647
TEL2	S000003331	telomere organization	GO:0032200
YHK8	S000001090	response to chemical	GO:0042221
SWI3	S000003712	cytoplasm	GO:0005737
VPS45	S000003063	cytoplasm	GO:0005737
TFC3	S000000001	nucleic acid binding transcription factor activity	GO:0001071
SNL1	S000001278	mitochondrion	GO:0005739
MRP8	S000001625	molecular function	GO:0003674
BAR1	S000001277	peptidase activity	GO:0008233
VPS1	S000001709	organelle fission	GO:0048285
NAB2	S000003090	RNA binding	GO:0003723
SCS3	S000003094	lipid metabolic process	GO:0006629
YKL069W	S000001552	cytoplasm	GO:0005737
PEX1	S000001680	peroxisome	GO:0005777
MDG1	S000005117	molecular function	GO:0003674
CYK3	S000002275	enzyme regulator activity	GO:0030234
APL3	S000000133	membrane	GO:0016020
TTI1	S000001516	cytoplasm	GO:0005737
PAN2	S000003062	cellular response to DNA damage stimulus	GO:0006974
THI74	S000002846	molecular function	GO:0003674
SKS1	S000005947	nucleus	GO:0005634
ARC15	S000001324	mitochondrion	GO:0005739
VPS62	S000003373	vacuole	GO:0005773
MSW1	S000002676	ligase activity	GO:0016874
MTC3	S000003195	cytoplasm	GO:0005737
CIA1	S000002675	RNA modification	GO:0009451
TOK1	S000003629	membrane	GO:0016020
HIF1	S000003945	histone modification	GO:0016570
PHO12	S000001258	hydrolase activity	GO:0016787
YGL260W	S000003229	molecular function	GO:0003674
ADH4	S000003225	oxidoreductase activity	GO:0016491
TAF14	S000006050	DNA-templated transcription, initiation	GO:0006352
TOM5	S000006433	protein complex biogenesis	GO:0070271
LRP1	S000001123	DNA binding	GO:0003677
ISA1	S000003950	ion binding	GO:0043167
YJL160C	S000003696	biological process	GO:0008150
YCR050C	S000000646	biological process	GO:0008150
FEN2	S000000623	cytoplasm	GO:0005737
TIM54	S000003590	mitochondrion organization	GO:0007005
PNG1	S000006017	hydrolase activity	GO:0016787
VPS9	S000004563	cytoplasm	GO:0005737
MET4	S000005047	protein binding transcription factor activity	GO:0000988
PUP1	S000005683	nucleus	GO:0005634
TMA46	S000005617	ribosome	GO:0005840
ANT1	S000006332	membrane	GO:0016020
ADY4	S000004217	structural molecule activity	GO:0005198
FEX1	S000005917	transmembrane transport	GO:0055085
MBP1	S000002214	mitotic cell cycle	GO:0000278
ATO3	S000002792	membrane	GO:0016020
SEC23	S000006385	regulation of transport	GO:0051049
BMS1	S000006138	RNA binding	GO:0003723
ADH5	S000000349	nucleus	GO:0005634
NDL1	S000004244	cytoskeletal protein binding	GO:0008092
TIM12	S000000295	mitochondrion	GO:0005739
FMP41	S000005112	cytoplasm	GO:0005737
ATG27	S000003714	response to starvation	GO:0042594
CYB2	S000004518	oxidoreductase activity	GO:0016491
NIT3	S000004343	cytoplasm	GO:0005737
NOP14	S000002307	RNA binding	GO:0003723
UBP11	S000001806	biological process	GO:0008150
YLR162W	S000004152	biological process	GO:0008150
PEP4	S000006075	hydrolase activity	GO:0016787
PET100	S000002486	membrane	GO:0016020
YOR152C	S000005678	membrane	GO:0016020
SFI1	S000003926	cytoskeleton organization	GO:0007010
CDC14	S000001924	meiotic cell cycle	GO:0051321
ARV1	S000004232	lipid metabolic process	GO:0006629
SMF1	S000005482	transmembrane transporter activity	GO:0022857
STT4	S000004296	lipid metabolic process	GO:0006629
TIF2	S000003674	regulation of translation	GO:0006417
HHF2	S000004975	nucleus	GO:0005634
ULI1	S000001922	response to chemical	GO:0042221
YNR048W	S000005331	lipid transport	GO:0006869
CSM2	S000001394	nucleus	GO:0005634
YBR139W	S000000343	hydrolase activity	GO:0016787
MOT3	S000004674	nucleus	GO:0005634
DIT1	S000002811	cell wall organization or biogenesis	GO:0071554
SPO14	S000001739	lipid binding	GO:0008289
SAM3	S000006195	ion transport	GO:0006811
YOL013W-A	S000028811	biological process	GO:0008150
RAD51	S000000897	ATPase activity	GO:0016887
RRN7	S000003562	nucleus	GO:0005634
KEL1	S000001201	regulation of organelle organization	GO:0033043
LSP1	S000005925	mitochondrion	GO:0005739
CUP2	S000003134	nucleic acid binding transcription factor activity	GO:0001071
YPK1	S000001609	site of polarized growth	GO:0030427
MFM1	S000005981	membrane	GO:0016020
TMN2	S000002514	cellular ion homeostasis	GO:0006873
NFU1	S000001523	molecular function	GO:0003674
SPO74	S000003138	cytoskeleton	GO:0005856
MCM3	S000000758	cytoplasm	GO:0005737
SUN4	S000005010	cytoplasm	GO:0005737
GPD1	S000002180	cofactor metabolic process	GO:0051186
CIA2	S000001164	nucleus	GO:0005634
SLA2	S000005187	cytoplasm	GO:0005737
YAR009C	S000000067	hydrolase activity	GO:0016787
YGR042W	S000003274	molecular function	GO:0003674
YER053C-A	S000007523	endoplasmic reticulum	GO:0005783
CCC2	S000002678	hydrolase activity	GO:0016787
GRC3	S000003958	nucleus	GO:0005634
MOG1	S000003835	enzyme binding	GO:0019899
SIN3	S000005364	cellular response to DNA damage stimulus	GO:0006974
HOM2	S000002565	nucleus	GO:0005634
YDR098C-B	S000007391	nuclease activity	GO:0004518
YML037C	S000004501	biological process	GO:0008150
MGA2	S000001472	nucleus	GO:0005634
SLY1	S000002597	membrane fusion	GO:0061025
YOR376W-A	S000028586	biological process	GO:0008150
GCD10	S000005006	tRNA processing	GO:0008033
ATP7	S000001499	transmembrane transport	GO:0055085
DMA2	S000005060	regulation of organelle organization	GO:0033043
MAS1	S000004153	cytoplasm	GO:0005737
YGR027W-B	S000007406	hydrolase activity	GO:0016787
ACT1	S000001855	cytoskeleton organization	GO:0007010
tN(GUU)L	S000006672	triplet codon-amino acid adaptor activity	GO:0030533
MCH1	S000002212	cytoplasm	GO:0005737
HSP12	S000001880	cytoplasm	GO:0005737
BSC6	S000005497	cytoplasm	GO:0005737
SSA2	S000003947	plasma membrane	GO:0005886
AKR1	S000002672	transferase activity	GO:0016740
ECM38	S000004290	vacuole	GO:0005773
INP2	S000004773	peroxisome organization	GO:0007031
HFA1	S000004820	lipid metabolic process	GO:0006629
ENA2	S000002446	transmembrane transporter activity	GO:0022857
WAR1	S000004541	DNA binding	GO:0003677
MMS2	S000003055	cellular response to DNA damage stimulus	GO:0006974
YRF1-2	S000000992	helicase activity	GO:0004386
LSB5	S000000539	cytoskeleton	GO:0005856
NUC1	S000003744	RNA catabolic process	GO:0006401
CTF18	S000004683	cellular response to DNA damage stimulus	GO:0006974
REV1	S000005873	cytoplasm	GO:0005737
NMA2	S000003242	nucleotidyltransferase activity	GO:0016779
DAD1	S000002423	chromosome	GO:0005694
PCL7	S000001312	enzyme regulator activity	GO:0030234
REC102	S000004321	molecular function	GO:0003674
JHD1	S000000853	cellular component	GO:0005575
SNT1	S000000629	regulation of organelle organization	GO:0033043
SET3	S000001737	nucleus	GO:0005634
NSE5	S000004485	nucleus	GO:0005634
ECO1	S000001923	chromosome segregation	GO:0007059
MRP21	S000000186	translational initiation	GO:0006413
SPS100	S000001181	cell wall organization or biogenesis	GO:0071554
PHO89	S000000500	ion transport	GO:0006811
DRS2	S000000024	endosomal transport	GO:0016197
YDR210W-B	S000007393	peptidase activity	GO:0008233
EBP2	S000001655	organelle fission	GO:0048285
RAD3	S000000973	nucleus	GO:0005634
YER175W-A	S000028625	molecular function	GO:0003674
VPS16	S000005966	membrane	GO:0016020
STE6	S000001692	cytoplasm	GO:0005737
FYV5	S000000563	cellular ion homeostasis	GO:0006873
SUE1	S000006355	cytoplasm	GO:0005737
SDH4	S000002585	membrane	GO:0016020
YML045W-A	S000007381	nucleus	GO:0005634
YPK1	S000001609	cytoplasm	GO:0005737
SUP53	S000006637	triplet codon-amino acid adaptor activity	GO:0030533
IOC3	S000001909	hydrolase activity	GO:0016787
TIF4631	S000003394	mitochondrion	GO:0005739
OSH2	S000002177	cytoplasm	GO:0005737
BAP2	S000000272	amino acid transport	GO:0006865
HMT1	S000000238	transferase activity	GO:0016740
CKS1	S000000339	nucleus	GO:0005634
CMP2	S000004521	hydrolase activity	GO:0016787
PTC7	S000001118	cytoplasm	GO:0005737
PET54	S000003454	mitochondrion	GO:0005739
ECM2	S000000269	nucleus	GO:0005634
HOR7	S000004864	membrane	GO:0016020
BET1	S000001266	Golgi vesicle transport	GO:0048193
YKL063C	S000001546	molecular function	GO:0003674
VAC14	S000004378	vacuole	GO:0005773
tK(CUU)M	S000006627	RNA binding	GO:0003723
PUS7	S000005769	cytoplasm	GO:0005737
tN(GUU)C	S000006668	translational elongation	GO:0006414
NUP85	S000003803	nucleus	GO:0005634
MIC12	S000000466	mitochondrion organization	GO:0007005
SNZ2	S000005277	cellular component	GO:0005575
IMD4	S000004520	cytoplasm	GO:0005737
YKL075C	S000001558	response to chemical	GO:0042221
SNR18	S000007500	RNA modification guide activity	GO:0030555
TPM2	S000001400	site of polarized growth	GO:0030427
GLO3	S000000924	Golgi vesicle transport	GO:0048193
CYR1	S000003542	lyase activity	GO:0016829
SNR5	S000007291	nucleus	GO:0005634
MSR1	S000001133	mitochondrion organization	GO:0007005
TDA1	S000004905	protein phosphorylation	GO:0006468
RPA135	S000006214	transferase activity	GO:0016740
ARP4	S000003617	protein complex biogenesis	GO:0070271
KAR3	S000006345	cytoplasm	GO:0005737
SPC98	S000005070	cytoplasm	GO:0005737
RRG9	S000005157	cytoplasm	GO:0005737
FIN1	S000002537	regulation of cell cycle	GO:0051726
AVT7	S000001350	vacuole	GO:0005773
HST2	S000005936	hydrolase activity	GO:0016787
YMC1	S000006262	vacuole	GO:0005773
YDR316W-B	S000007399	nucleus	GO:0005634
DUR3	S000001008	ion transport	GO:0006811
YTA12	S000004695	ion binding	GO:0043167
YTA12	S000004695	cytoplasm	GO:0005737
PDE1	S000003217	hydrolase activity	GO:0016787
GCN5	S000003484	nucleus	GO:0005634
YMR247W-A	S000028849	molecular function	GO:0003674
YME1	S000006228	mitochondrion organization	GO:0007005
TOM70	S000005065	transmembrane transporter activity	GO:0022857
ATG4	S000005167	vacuole organization	GO:0007033
TFB2	S000006043	nucleus	GO:0005634
STE12	S000001126	nucleic acid binding transcription factor activity	GO:0001071
ECM23	S000005942	DNA binding	GO:0003677
TIM11	S000007255	ATPase activity	GO:0016887
ATG12	S000000421	protein lipidation	GO:0006497
BCH2	S000001735	carbohydrate metabolic process	GO:0005975
